frame_idx,time_s,pos_m,lwrist_pos_m,rwrist_pos_m,px_per_m,selection_mode,lwrist_x,lwrist_y,rwrist_x,rwrist_y,lshoulder_x,lshoulder_y,rshoulder_x,rshoulder_y
0,0.0,180.0,91.2005615234375,115.63201904296875,1.0,auto,91.2005615234375,1185.291748046875,115.63201904296875,1168.171142578125,164.6429443359375,997.564453125,105.1187744140625,969.7443237304688
1,0.008333333333333333,186.0,101.4638671875,124.78466796875,1.0,auto,101.4638671875,1166.750244140625,124.78466796875,1140.1943359375,177.33245849609375,974.9503173828125,114.23193359375,943.923583984375
2,0.016666666666666666,187.0,105.91665649414062,125.33602905273438,1.0,auto,105.91665649414062,1143.2626953125,125.33602905273438,1119.00439453125,178.38479614257812,952.1044311523438,118.42178344726562,922.4580688476562
3,0.025,185.0,87.72500610351562,133.02139282226562,1.0,auto,87.72500610351562,1135.4609375,133.02139282226562,1102.25927734375,175.32339477539062,938.7918701171875,117.64791870117188,903.9781494140625
4,0.03333333333333333,184.0,101.67340087890625,119.197021484375,1.0,auto,101.67340087890625,1110.04638671875,119.197021484375,1084.812255859375,174.6854248046875,920.541015625,118.9990234375,891.3804931640625
5,0.041666666666666664,182.0,228.65863037109375,122.8138427734375,1.0,auto,228.65863037109375,1095.7572021484375,122.8138427734375,1073.345947265625,174.782470703125,904.8243408203125,118.6607666015625,875.510498046875
6,0.05,178.0,88.46194458007812,127.55795288085938,1.0,auto,88.46194458007812,1097.828857421875,127.55795288085938,1058.339599609375,171.59127807617188,890.3233642578125,119.24423217773438,858.0589599609375
7,0.058333333333333334,179.0,87.73666381835938,120.32485961914062,1.0,auto,87.73666381835938,1075.107177734375,120.32485961914062,1039.6748046875,176.05368041992188,877.9365844726562,121.02389526367188,844.5659790039062
8,0.06666666666666667,182.0,211.66946411132812,130.72842407226562,1.0,auto,211.66946411132812,1045.6884765625,130.72842407226562,1029.804443359375,172.80813598632812,866.0498657226562,120.04556274414062,826.8181762695312
9,0.075,180.0,230.29904174804688,133.70620727539062,1.0,auto,230.29904174804688,1041.754638671875,133.70620727539062,1013.9548950195312,174.93161010742188,852.1949462890625,120.82717895507812,814.2319946289062
