frame_idx,time_s,pos_m,lwrist_pos_m,rwrist_pos_m,px_per_m,selection_mode,lwrist_x,lwrist_y,rwrist_x,rwrist_y,lshoulder_x,lshoulder_y,rshoulder_x,rshoulder_y
1,0.008333333333333333,127.0,,,1.0,auto,,,,,106.21478271484375,2121.6025390625,147.1220703125,2120.606201171875
2,0.016666666666666666,726.0,,,1.0,auto,,,,,722.4937133789062,1776.44970703125,703.6472778320312,1786.5372314453125
3,0.025,99.0,66.01316833496094,66.82521057128906,1.0,auto,66.01316833496094,2112.451416015625,66.82521057128906,2111.93994140625,80.12228393554688,2117.6201171875,119.91938781738281,2116.5556640625
4,0.03333333333333333,90.0,53.906089782714844,,1.0,auto,53.906089782714844,2153.051025390625,,,69.75267791748047,2115.926025390625,110.42713928222656,2115.9892578125
5,0.041666666666666664,80.0,43.655303955078125,,1.0,auto,43.655303955078125,2152.846923828125,,,61.876983642578125,2114.24951171875,100.48063659667969,2113.63720703125
6,0.05,74.0,29.756591796875,,1.0,auto,29.756591796875,2153.203125,,,54.15271759033203,2112.820556640625,92.07278442382812,2112.5439453125
7,0.058333333333333334,63.0,18.440872192382812,,1.0,auto,18.440872192382812,2151.346435546875,,,43.10716247558594,2111.909423828125,82.31460571289062,2111.142333984375
8,0.06666666666666667,55.0,11.228382110595703,,1.0,auto,11.228382110595703,2150.483642578125,,,34.29384994506836,2110.79150390625,72.17906188964844,2108.7880859375
9,0.075,42.0,7.458499908447266,,1.0,auto,7.458499908447266,2103.308349609375,,,22.680038452148438,2109.42626953125,62.59547424316406,2107.912109375
11,0.09166666666666666,26.0,,,1.0,auto,,,,,5.6514892578125,2104.198974609375,43.83295440673828,2104.567138671875
12,0.1,20.0,,,1.0,auto,,,,,,,31.98546600341797,2102.404052734375
13,0.10833333333333334,14.0,,,1.0,auto,,,,,21.971920013427734,2102.06787109375,22.25332260131836,2102.37353515625
14,0.11666666666666667,613.0,586.193603515625,569.6389770507812,1.0,auto,586.193603515625,1771.7552490234375,569.6389770507812,1784.747802734375,613.3063354492188,1751.0625,594.536376953125,1763.3218994140625
139,1.1583333333333334,504.0,466.6884765625,,1.0,auto,466.6884765625,1608.5181884765625,,,485.4107666015625,1579.5587158203125,,
154,1.2833333333333334,1182.0,,,1.0,auto,,,,,,,,
160,1.3333333333333333,568.0,,,1.0,auto,,,,,,,,
163,1.3583333333333334,588.0,540.1856079101562,,1.0,auto,540.1856079101562,1435.575927734375,,,587.1165161132812,1414.4228515625,565.9567260742188,1420.9407958984375
169,1.4083333333333334,18.0,,,1.0,auto,,,,,4.024627685546875,1706.4920654296875,31.305770874023438,1706.6019287109375
170,1.4166666666666667,22.0,,,1.0,auto,,,,,4.662544250488281,1700.1756591796875,35.838623046875,1698.986083984375
172,1.4333333333333333,28.0,,,1.0,auto,,,,,7.687126159667969,1685.9512939453125,43.90147399902344,1682.955322265625
177,1.475,618.0,,,1.0,auto,,,,,616.7705078125,1300.6451416015625,,
178,1.4833333333333334,31.0,2.8669090270996094,,1.0,auto,2.8669090270996094,1638.59375,,,11.514724731445312,1641.65966796875,44.48982238769531,1639.1761474609375
179,1.4916666666666667,22.0,,,1.0,auto,,,,,5.275352478027344,1635.404541015625,35.90955352783203,1635.4930419921875
180,1.5,14.0,,,1.0,auto,,,,,24.541332244873047,1632.2630615234375,25.684650421142578,1632.263427734375
182,1.5166666666666666,574.0,,,1.0,auto,,,,,570.1389770507812,1276.5313720703125,574.2794189453125,1275.7073974609375
183,1.525,564.0,532.9323120117188,,1.0,auto,532.9323120117188,1290.861572265625,,,551.1284790039062,1262.6383056640625,563.788818359375,1269.0863037109375
185,1.5416666666666667,540.0,,,1.0,auto,,,,,518.3933715820312,1284.843994140625,,
186,1.55,1352.0,1329.088623046875,1266.1275634765625,1.0,auto,1329.088623046875,1923.935791015625,1266.1275634765625,1901.8076171875,1404.198486328125,1962.7672119140625,1316.3223876953125,1950.2139892578125
188,1.5666666666666667,510.0,453.41802978515625,453.18377685546875,1.0,auto,453.41802978515625,1280.9591064453125,453.18377685546875,1280.0003662109375,504.256591796875,1255.31494140625,504.50921630859375,1251.6646728515625
189,1.575,498.0,,,1.0,auto,,,,,474.32220458984375,1270.7318115234375,,
192,1.6,459.0,,,1.0,auto,,,,,444.91326904296875,1256.1434326171875,482.8651123046875,1252.294677734375
193,1.6083333333333334,471.0,,,1.0,auto,,,,,,,,
194,1.6166666666666667,1081.0,,,1.0,auto,,,,,,,,
196,1.6333333333333333,454.0,,,1.0,auto,,,,,,,,
197,1.6416666666666666,455.0,,,1.0,auto,,,,,,,,
199,1.6583333333333334,1587.0,,,1.0,auto,,,,,1601.4254150390625,1795.2005615234375,,
200,1.6666666666666667,1589.0,,,1.0,auto,,,,,,,,
202,1.6833333333333333,442.0,,,1.0,auto,,,,,420.6315002441406,1213.5257568359375,469.8121337890625,1216.6722412109375
211,1.7583333333333333,419.0,,460.11700439453125,1.0,auto,,,460.11700439453125,1170.27099609375,402.79052734375,1168.258056640625,,
216,1.8,398.0,440.2911376953125,441.85675048828125,1.0,auto,440.2911376953125,1146.0426025390625,441.85675048828125,1147.93212890625,388.5835266113281,1144.3291015625,429.68505859375,1152.7591552734375
217,1.8083333333333333,393.0,,442.36480712890625,1.0,auto,,,442.36480712890625,1144.2974853515625,389.1500549316406,1136.933837890625,434.9397277832031,1150.6439208984375
220,1.8333333333333333,386.0,,440.6337890625,1.0,auto,,,440.6337890625,1132.3585205078125,383.8422546386719,1125.02099609375,422.20709228515625,1138.6148681640625
221,1.8416666666666666,389.0,,438.7689208984375,1.0,auto,,,438.7689208984375,1127.5352783203125,381.0897521972656,1122.3170166015625,421.9375915527344,1134.099853515625
222,1.85,390.0,,,1.0,auto,,,,,383.8814392089844,1117.646728515625,,
223,1.8583333333333334,386.0,,440.19207763671875,1.0,auto,,,440.19207763671875,1117.4915771484375,380.1700744628906,1114.4757080078125,420.94525146484375,1127.87451171875
224,1.8666666666666667,390.0,,,1.0,auto,,,,,383.38824462890625,1108.597412109375,,
225,1.875,385.0,,434.6601257324219,1.0,auto,,,434.6601257324219,1108.291748046875,377.05780029296875,1104.1143798828125,415.7074279785156,1114.7685546875
228,1.9,1038.0,1066.82080078125,,1.0,auto,1066.82080078125,1528.0499267578125,,,,,,
229,1.9083333333333334,375.0,421.46331787109375,425.3944091796875,1.0,auto,421.46331787109375,1089.8787841796875,425.3944091796875,1091.1427001953125,366.4156799316406,1086.3681640625,408.3194580078125,1097.2880859375
231,1.925,1581.0,,1572.037353515625,1.0,auto,,,1572.037353515625,1662.0810546875,,,1564.787353515625,1595.2537841796875
232,1.9333333333333333,375.0,418.75225830078125,421.23516845703125,1.0,auto,418.75225830078125,1077.2952880859375,421.23516845703125,1077.0745849609375,366.6161193847656,1069.9996337890625,402.403076171875,1079.859375
233,1.9416666666666667,377.0,416.68145751953125,417.9697265625,1.0,auto,416.68145751953125,1073.0853271484375,417.9697265625,1072.3133544921875,367.5137939453125,1065.1866455078125,399.54388427734375,1068.91455078125
241,2.0083333333333333,1017.0,,,1.0,auto,,,,,,,,
244,2.033333333333333,1009.0,,,1.0,auto,,,,,,,,
248,2.066666666666667,1008.0,,,1.0,auto,,,,,,,,
250,2.0833333333333335,1002.0,,,1.0,auto,,,,,,,,
254,2.1166666666666667,995.0,,,1.0,auto,,,,,,,,
256,2.1333333333333333,998.0,,,1.0,auto,,,,,,,,
259,2.158333333333333,780.0,824.8480224609375,,1.0,auto,824.8480224609375,1714.02685546875,,,921.0750732421875,1745.63916015625,774.160400390625,1739.736083984375
260,2.1666666666666665,782.0,817.62060546875,,1.0,auto,817.62060546875,1688.015869140625,,,922.7352294921875,1726.44482421875,778.719482421875,1726.19140625
261,2.175,786.0,815.0501708984375,658.748779296875,1.0,auto,815.0501708984375,1660.7880859375,658.748779296875,1718.74658203125,925.244140625,1723.21728515625,790.5189208984375,1718.572021484375
262,2.183333333333333,790.0,815.146728515625,,1.0,auto,815.146728515625,1491.64990234375,,,924.077392578125,1728.9052734375,794.014404296875,1718.82275390625
