frame_idx,time_s,pos_m,lwrist_pos_m,rwrist_pos_m,px_per_m,selection_mode,lwrist_x,lwrist_y,rwrist_x,rwrist_y,lshoulder_x,lshoulder_y,rshoulder_x,rshoulder_y
0,0.0,100.0,112.19355773925781,97.14956665039062,1.0,auto,112.19355773925781,893.2671508789062,97.14956665039062,891.79541015625,115.30494689941406,863.2014770507812,90.22537231445312,861.3438110351562
1,0.016666666666666666,122.0,133.89810180664062,117.69500732421875,1.0,auto,133.89810180664062,894.8246459960938,117.69500732421875,893.6195068359375,136.0799102783203,864.1383666992188,111.0107421875,863.67724609375
2,0.03333333333333333,141.0,152.399169921875,137.85659790039062,1.0,auto,152.399169921875,895.8754272460938,137.85659790039062,894.255615234375,155.32882690429688,865.7039794921875,130.62774658203125,864.4083251953125
3,0.05,158.0,169.45803833007812,154.21957397460938,1.0,auto,169.45803833007812,895.986572265625,154.21957397460938,895.4854736328125,171.9610595703125,865.3472900390625,147.99261474609375,864.2412109375
4,0.06666666666666667,174.0,185.24014282226562,170.6398468017578,1.0,auto,185.24014282226562,895.770751953125,170.6398468017578,893.3030395507812,188.1845703125,866.3877563476562,163.1735382080078,864.708984375
5,0.08333333333333333,189.0,200.37374877929688,185.98043823242188,1.0,auto,200.37374877929688,896.0061645507812,185.98043823242188,894.0684814453125,203.26486206054688,866.9515991210938,178.55804443359375,865.402587890625
6,0.1,204.0,215.15185546875,201.03424072265625,1.0,auto,215.15185546875,896.6116943359375,201.03424072265625,894.9296264648438,218.25900268554688,866.9671630859375,193.65716552734375,865.76953125
7,0.11666666666666667,219.0,230.5384521484375,215.39901733398438,1.0,auto,230.5384521484375,897.4087524414062,215.39901733398438,895.7902221679688,233.62136840820312,867.945068359375,208.71365356445312,866.6268310546875
8,0.13333333333333333,232.0,243.07232666015625,228.57467651367188,1.0,auto,243.07232666015625,896.78515625,228.57467651367188,895.7010498046875,245.93789672851562,867.7379150390625,221.41912841796875,866.2158203125
9,0.15,244.0,256.1148986816406,242.75091552734375,1.0,auto,256.1148986816406,896.9127197265625,242.75091552734375,895.9013671875,258.8548889160156,867.560302734375,234.5699462890625,866.2462768554688
10,0.16666666666666666,257.0,268.5545959472656,254.77206420898438,1.0,auto,268.5545959472656,896.7312622070312,254.77206420898438,895.5626831054688,271.04522705078125,866.5806274414062,247.00714111328125,866.03369140625
11,0.18333333333333332,269.0,281.0560302734375,266.99407958984375,1.0,auto,281.0560302734375,896.7755126953125,266.99407958984375,895.4006958007812,283.69488525390625,867.5947875976562,259.2626647949219,866.3021850585938
12,0.2,282.0,294.03070068359375,280.3896789550781,1.0,auto,294.03070068359375,896.8651123046875,280.3896789550781,896.031494140625,296.31793212890625,867.875244140625,272.3172302246094,866.7406005859375
